"","plot","duration","intensity","dayphase","Coccothraustes_coccothraustes","Columba_palumbus","Corvus_corone","Cyanistes_caeruleus","Dryocopus_martius","Erithacus_rubecula","Fringilla_coelebs","Garrulus_glandarius","Lophophanes_cristatus","Parus_major","Periparus_ater","Regulus_regulus","Strix_aluco","Sylvia_atricapilla","Turdus_merula","Turdus_philomelos","Turdus_viscivorus","Buteo_buteo","Dendrocopos_major","Phylloscopus_sibilatrix","Picus_viridis","Poecile_palustris","Regulus_ignicapillus","Certhia_familiaris","Sitta_europaea","Milvus_milvus","Spinus_spinus","Troglodytes_troglodytes","Chloris_chloris","Columba_oenas","Dendrocoptes_medius","Phylloscopus_collybita","Glaucidium_passerinum","Prunella_modularis","Picus_canus","Pyrrhula_pyrrhula","Accipiter_sp.","Alopochen_aegyptiaca","Certhia_brachydactyla","Cuculus_canorus","Carduelis_carduelis","Corvus_corax","Loxia_curvirostra","Aegithalos_caudatus","Motacilla_cinerea","Motacilla_alba","Nucifraga_caryocatactes","Scolopax_rusticola","Aegolius_funereus","Muscicapa_striata","rich"
"1","CFB011","1day","every6","predawn",0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"2","CFB011","1day","every6","postdawn",0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"3","CFB011","1day","every6","both",0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"4","CFB011","1day","every15","predawn",0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"5","CFB011","1day","every15","postdawn",0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"6","CFB011","1day","every15","both",0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"7","CFB011","1day","every30","predawn",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"8","CFB011","1day","every30","postdawn",0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"9","CFB011","1day","every30","both",0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"10","CFB011","1day","every60","predawn",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"11","CFB011","1day","every60","postdawn",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"12","CFB011","1day","every60","both",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"13","CFB011","1day","every3","predawn",0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"14","CFB011","1day","every3","postdawn",0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"15","CFB011","1day","every3","both",0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"16","CFB011","2days","every6","predawn",0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"17","CFB011","2days","every6","postdawn",0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"18","CFB011","2days","every6","both",0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"19","CFB011","2days","every15","predawn",0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"20","CFB011","2days","every15","postdawn",0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"21","CFB011","2days","every15","both",0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
