"","lon","lat","plot_no"
"CFB008",7.96187578,47.87411034,"CFB008"
"CFB138",8.29282914,48.24372864,"CFB138"
"CFB179",8.18682627,47.7947399,"CFB179"
"CFB016",7.83182391,47.83813517,"CFB016"
"CFB054",8.45431667,48.11028318,"CFB054"
"CFB103",8.35683841,48.11311137,"CFB103"
"CFB047",8.3408113,47.84037547,"CFB047"
"CFB148",8.23421741,48.12434046,"CFB148"
"CFB110",8.22465034,47.77056777,"CFB110"
"CFB046",8.23549155,47.64579783,"CFB046"
"CFB048",8.35091695,47.84647917,"CFB048"
"CFB083",8.0628901,48.03198726,"CFB083"
"CFB028",8.01276131,47.91701333,"CFB028"
"CFB094",7.96843079,47.66767858,"CFB094"
"CFB036",8.23005283,47.83010981,"CFB036"
"CFB015",8.06725745,47.88804446,"CFB015"
"CFB151",8.16275767,48.14789328,"CFB151"
"CFB125",7.70124104,47.72635096,"CFB125"
"CFB077",8.3017823,47.7381076,"CFB077"
"CFB140",8.43088868,48.15634907,"CFB140"
"CFB162",8.35353475,47.99664337,"CFB162"
"CFB030",7.68225816,47.67846958,"CFB030"
"CFB119",8.1917214,47.73693646,"CFB119"
"CFB153",8.056753,48.0646927,"CFB153"
"CFB073",8.04743733,48.03866314,"CFB073"
"CFB182",8.11933769,48.06735952,"CFB182"
"CFB122",7.74956616,47.67011392,"CFB122"
"CFB056",8.06654441,48.16134382,"CFB056"
"CFB053",8.31017085,48.14203595,"CFB053"
"CFB123",8.11415459,47.66836388,"CFB123"
"CFB180",8.04918551,47.71659697,"CFB180"
"CFB127",8.12476151,48.26936426,"CFB127"
"CFB101",8.06843734,48.03982444,"CFB101"
"CFB020",8.25425622,47.82857331,"CFB020"
"CFB044",8.11934992,48.17623916,"CFB044"
"CFB058",8.52795104,48.00821639,"CFB058"
"CFB001",7.84134641,47.81778627,"CFB001"
"CFB137",8.29785039,48.21452328,"CFB137"
"CFB117",8.38087412,48.1145682,"CFB117"
"CFB185",8.46144067,47.99542173,"CFB185"
"CFB111",7.80826566,47.71903022,"CFB111"
"CFB168",8.20140063,47.76640927,"CFB168"
"CFB136",8.40432562,48.1340491,"CFB136"
"CFB086",8.46967173,48.12143594,"CFB086"
"CFB022",7.9079692,47.94258082,"CFB022"
"CFB091",7.96931083,47.74223151,"CFB091"
"CFB045",8.28547904,47.66742448,"CFB045"
"CFB060",8.30532961,47.70148021,"CFB060"
"CFB165",8.26769649,47.81514583,"CFB165"
"CFB105",8.27937509,47.73964871,"CFB105"
"CFB093",8.20422031,47.73244369,"CFB093"
"CFB021",8.04499235,47.87928593,"CFB021"
"CFB152",8.14909034,48.12978059,"CFB152"
"CFB075",7.98105387,47.64267228,"CFB075"
"CFB124",8.06296391,47.71688943,"CFB124"
"CFB005",8.29435973,47.8093015,"CFB005"
"CFB187",7.98627807,47.95131109,"CFB187"
"CFB181",8.16708898,48.16559268,"CFB181"
"CFB114",7.90078453,47.96560749,"CFB114"
"CFB156",8.09318777,48.11430847,"CFB156"
"CFB011",7.73328553,47.76606448,"CFB011"
"CFB135",7.69722603,47.68202983,"CFB135"
"CFB039",7.90464821,47.95143998,"CFB039"
"CFB132",8.36904411,48.15057804,"CFB132"
"CFB131",8.19848435,48.07803282,"CFB131"
"CFB003",8.03936319,47.86675408,"CFB003"
"CFB061",8.27482971,47.64951035,"CFB061"
"CFB176",8.32819527,47.73604492,"CFB176"
"CFB096",8.18375088,47.69842333,"CFB096"
"CFB178",7.90030178,47.77688663,"CFB178"
"CFB067",8.45264649,48.16559033,"CFB067"
