"","lon","lat","plot_no"
"CFB087",8.12920265,47.98161277,"CFB087"
"CFB014",7.90374527,48.0187608,"CFB014"
"CFB107",8.1278077,47.67813492,"CFB107"
"CFB017",8.2223322,47.81405443,"CFB017"
"CFB066",8.36724538,47.74459327,"CFB066"
"CFB160",8.15040524,48.00697524,"CFB160"
"CFB089",8.50454312,48.1665284,"CFB089"
"CFB121",7.88946943,47.67384082,"CFB121"
"CFB050",8.62569705,48.02482381,"CFB050"
"CFB033",7.78801832,47.78122595,"CFB033"
"CFB161",8.16163256,47.99557313,"CFB161"
"CFB019",7.76991713,47.79591391,"CFB019"
"CFB108",8.03150919,47.74916573,"CFB108"
"CFB057",8.5196351,48.14165427,"CFB057"
"CFB109",7.74656072,47.76779348,"CFB109"
"CFB065",8.34325015,47.74022656,"CFB065"
"CFB031",7.70863074,47.6877134,"CFB031"
"CFB035",7.78351212,47.87176644,"CFB035"
"CFB076",8.29124968,47.65685179,"CFB076"
"CFB052",8.18889443,48.1225647,"CFB052"
"CFB069",8.29261139,47.7328547,"CFB069"
"CFB037",7.91801038,47.91087719,"CFB037"
"CFB085",8.4174786,48.15333905,"CFB085"
"CFB173",8.08160904,47.77757267,"CFB173"
"CFB034",8.08729517,47.79447006,"CFB034"
"CFB188",8.3076678,47.79005697,"CFB188"
"CFB010",7.92929101,47.90248,"CFB010"
"CFB079",8.16500956,47.9396379,"CFB079"
"CFB164",8.26817663,47.83176117,"CFB164"
"CFB134",8.31828284,48.15286135,"CFB134"
"CFB018",8.27628787,47.80482031,"CFB018"
"CFB059",8.35931954,47.69944209,"CFB059"
"CFB078",8.37347241,47.8390868,"CFB078"
"CFB098",8.17334442,48.00261125,"CFB098"
"CFB133",8.05233735,48.1227983,"CFB133"
"CFB167",8.31497949,47.78165082,"CFB167"
"CFB113",8.07555324,47.89946504,"CFB113"
"CFB172",8.07475969,47.76635324,"CFB172"
"CFB063",8.27435365,47.65970624,"CFB063"
"CFB183",8.07530885,47.78979472,"CFB183"
"CFB009",8.21832047,48.20339903,"CFB009"
"CFB184",8.16219966,48.12031908,"CFB184"
"CFB064",8.36134363,47.73391956,"CFB064"
"CFB055",8.4363353,48.12826899,"CFB055"
"CFB068",8.16788614,47.68819762,"CFB068"
"CFB084",8.43769733,48.11572306,"CFB084"
"CFB118",8.10015493,48.04345377,"CFB118"
"CFB130",8.07407045,47.9086087,"CFB130"
"CFB038",8.33598485,48.00233039,"CFB038"
"CFB128",8.11301142,47.88721902,"CFB128"
"CFB104",7.93728716,47.6756125,"CFB104"
"CFB163",8.5503949,48.02335194,"CFB163"
"CFB102",8.35151761,48.15179328,"CFB102"
"CFB071",8.50850527,48.12088229,"CFB071"
"CFB159",7.99030135,48.03306464,"CFB159"
"CFB002",7.97678931,47.88645064,"CFB002"
"CFB072",8.48195171,48.14410531,"CFB072"
"CFB186",8.32591813,47.83944237,"CFB186"
"CFB129",7.98010786,48.01455345,"CFB129"
"CFB106",7.90832421,47.68706668,"CFB106"
"CFB171",8.10950825,47.76766948,"CFB171"
"CFB177",8.24570206,47.76475274,"CFB177"
"CFB141",8.42988076,48.14737035,"CFB141"
"CFB007",7.99482142,47.87913322,"CFB007"
